,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Brand,New_Year
36,Maruti Vitara Brezza ZDi Plus,Kochi,13229.44,2018,50075,Diesel,Manual,First,24,1248,88,5,Maruti,6
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,7434.86,2017,52000,Petrol,Manual,First,18,1198,82,5,Mahindra,7
38,Mercedes-Benz M-Class ML 350 CDI,Pune,42922.88,2013,85000,Diesel,Automatic,First,11,2987,254,5,Mercedes-Benz,11
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,7664.8,2013,62000,Diesel,Manual,First,22,1199,73,5,Volkswagen,11
40,Maruti Alto LXi,Delhi,1916.2,2008,90000,Petrol,Manual,Second,19,796,46,5,Maruti,16
41,Tata Nano LX SE,Kochi,2345.43,2014,19698,Petrol,Manual,First,25,624,37,4,Tata,10
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8553.92,2017,22033,Diesel,Manual,First,25,1198,77,6,Mahindra,7
43,Hyundai i20 Magna Optional 1.2,Kochi,7266.23,2014,35487,Petrol,Manual,First,18,1197,82,5,Hyundai,10
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,13566.7,2014,46374,Petrol,Automatic,First,14,1999,149,5,Hyundai,10
45,Toyota Corolla Altis G AT,Mumbai,15498.23,2016,52001,Petrol,Automatic,First,14,1798,138,5,Toyota,8
46,Hyundai Elantra CRDi,Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,14,1991,112,5,Hyundai,16
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,16785.91,2012,70704,Petrol,Manual,First,11,2694,163,7,Toyota,12
48,Hyundai Xcent 1.1 CRDi S,Jaipur,5901.9,2014,75000,Diesel,Manual,First,24,1120,71,5,Hyundai,10
49,Mahindra Thar CRDe AC,Jaipur,8431.28,2012,75800,Diesel,Manual,Second,16,2498,105,6,Mahindra,12
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,32851.33,2015,13648,Diesel,Automatic,First,17,1968,174,5,Audi,9
51,Maruti Swift LDI,Delhi,6515.08,2014,52000,Diesel,Manual,First,22,1248,74,5,Maruti,10
52,Maruti Swift Ldi BSIV,Kolkata,5058.77,2014,53000,Diesel,Manual,First,17,1248,75,5,Maruti,10
53,Maruti Swift VDI,Delhi,5901.9,2013,65650,Diesel,Manual,First,28,1248,74,5,Maruti,11
54,Hyundai Grand i10 Sportz,Chennai,5518.66,2015,54000,Petrol,Manual,Third,18,1197,82,5,Hyundai,9
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,6116.51,2015,39000,Petrol,Manual,First,15,1598,103,5,Volkswagen,9
56,Renault KWID RXT,Kochi,5058.77,2017,16542,Petrol,Manual,First,25,799,53,5,Renault,7
57,Hyundai i10 Asta,Kolkata,3173.23,2010,32000,Petrol,Manual,First,20,1197,78,5,Hyundai,14
58,Nissan X-Trail SLX AT,Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,13,1995,147,5,Nissan,14
59,Maruti Zen Estilo VXI BSIII,Hyderabad,3449.16,2010,39300,Petrol,Manual,First,18,998,67,5,Maruti,14
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,25293.84,2017,22000,Diesel,Manual,First,13,2393,147,8,Toyota,7
61,Ford Figo Diesel Titanium,Bangalore,4215.64,2010,72000,Diesel,Manual,First,20,1399,68,5,Ford,14
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,40930.03,2015,58000,Petrol,Automatic,First,11,1796,186,5,Mercedes-Benz,9
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,15329.6,2011,65000,Diesel,Manual,Second,15,2148,170,5,Mercedes-Benz,13
64,Tata Indica V2 eLS,Chennai,3832.4,2016,178000,Diesel,Manual,First,25,1396,69,5,Tata,8
65,Audi A4 2.0 TDI Multitronic,Jaipur,20694.96,2012,65664,Diesel,Automatic,First,16,1968,140,5,Audi,12
66,Honda City ZX CVT,Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,16,1497,78,5,Honda,17
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,54680.68,2019,15369,Diesel,Automatic,First,17,1950,194,5,Mercedes-Benz,5
68,Maruti Ertiga SHVS VDI,Pune,12493.62,2016,63000,Diesel,Manual,First,24,1248,88,7,Maruti,8
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,16096.08,2018,13000,Diesel,Manual,First,22,1396,88,5,Hyundai,6
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,22227.92,2008,73000,Petrol,Automatic,First,8,4806,500,5,Porsche,16
71,Mahindra XUV500 W8 4WD,Mumbai,14793.06,2015,55729,Diesel,Manual,First,15,2179,140,7,Mahindra,9
72,Hyundai i10 Sportz 1.2 AT,Kochi,5334.7,2012,45178,Petrol,Automatic,First,16,1197,78,5,Hyundai,12
73,Nissan Terrano XV D Pre,Kochi,10608.08,2015,56066,Diesel,Manual,First,19,1461,108,5,Nissan,9
74,Honda Brio VX AT,Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,16,1198,86,5,Honda,8
75,Audi A6 2.0 TDI Design Edition,Delhi,45222.32,2014,56000,Diesel,Automatic,Second,18,1968,187,5,Audi,10
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,3065.92,2008,111111,Diesel,Manual,First,17,1399,112,5,Ford,16
77,Toyota Innova 2.0 G1,Chennai,6898.32,2006,230000,Petrol,Manual,Third,12,1998,132,8,Toyota,18
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,18012.28,2012,104000,Diesel,Manual,First,12,2494,102,7,Toyota,12
79,Hyundai Santro Xing XL,Hyderabad,1992.85,2005,87591,Petrol,Manual,First,17,1086,112,5,Hyundai,19
80,Maruti Swift VDI,Jaipur,5748.6,2012,95100,Diesel,Manual,First,22,1248,74,5,Maruti,12
81,Tata Zest Revotron 1.2T XE,Pune,6898.32,2017,70000,Petrol,Manual,First,17,1193,88,5,Tata,7
82,Honda Amaze SX i-VTEC,Kochi,7388.87,2016,54944,Petrol,Manual,First,18,1198,86,5,Honda,8
83,Ford Figo Diesel ZXI,Hyderabad,4292.29,2012,70337,Diesel,Manual,First,20,1399,68,5,Ford,12
84,Maruti Ritz VDi,Jaipur,4767.51,2013,99638,Diesel,Manual,First,23,1248,73,5,Maruti,11
85,Honda City i VTEC E,Delhi,4982.12,2009,52000,Petrol,Manual,First,17,1497,117,5,Honda,15
86,BMW 5 Series 2003-2012 525d,Delhi,21308.14,2011,75000,Diesel,Automatic,Second,16,1995,218,5,BMW,13
87,Hyundai i10 Sportz 1.2,Pune,3449.16,2009,95980,Petrol,Manual,First,20,1197,78,5,Hyundai,15
88,Hyundai Grand i10 Sportz,Bangalore,8814.52,2016,16000,Petrol,Manual,First,18,1197,82,5,Hyundai,8
89,Hyundai Santro Xing XO,Hyderabad,3219.22,2007,73745,Petrol,Manual,First,17,1086,112,5,Hyundai,17
90,Honda Amaze SX i-VTEC,Mumbai,7664.8,2016,18949,Petrol,Manual,First,17,1198,86,5,Honda,8
91,Toyota Fortuner 4x2 Manual,Delhi,25293.84,2014,107000,Diesel,Manual,First,13,2982,168,7,Toyota,10
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,17,1968,174,5,Audi,6
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,8431.28,2013,57000,Diesel,Manual,First,22,1498,89,5,Ford,11
94,Mahindra XUV500 W8 2WD,Delhi,12416.98,2014,58000,Diesel,Manual,First,15,2179,140,7,Mahindra,10
95,Honda Amaze SX i-DTEC,Kolkata,5365.36,2015,30000,Diesel,Manual,First,25,1498,98,5,Honda,9
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,4276.96,2013,34212,Diesel,Manual,First,22,1199,73,5,Volkswagen,11
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,16,1493,110,5,Hyundai,14
98,Maruti Wagon R VXI BS IV,Bangalore,6821.67,2016,62000,Petrol,Manual,First,18,998,67,5,Maruti,8
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,4062.34,2010,62001,Petrol,Manual,First,15,1598,103,5,Volkswagen,14
100,Hyundai i20 1.4 CRDi Sportz,Pune,5825.25,2011,78958,Diesel,Manual,Second,23,1396,90,5,Hyundai,13
101,Hyundai i20 Asta 1.2,Mumbai,7128.26,2014,30180,Petrol,Manual,First,18,1197,82,5,Hyundai,10
102,Datsun GO Plus T Petrol,Pune,6055.19,2017,32851,Petrol,Manual,First,19,1198,67,7,Datsun,7
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,15023.01,2010,30000,Diesel,Automatic,First,14,2967,241,5,Audi,14
104,Hyundai i20 2015-2017 Asta,Pune,4138.99,2009,66000,Petrol,Manual,Second,17,1197,80,5,Hyundai,15
105,Maruti Omni 5 Str STD,Coimbatore,3694.43,2010,93850,Petrol,Manual,First,14,796,35,5,Maruti,14
106,Toyota Etios Liva 1.2 G,Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,17,1197,78,5,Toyota,10
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,14,2993,270,5,Jaguar,13
108,Mahindra XUV500 W8 2WD,Delhi,8814.52,2012,65000,Diesel,Manual,Second,16,2179,140,7,Mahindra,12
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,8048.04,2014,40000,Diesel,Automatic,First,22,1582,126,5,Hyundai,10
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,29509.48,2017,30000,Diesel,Automatic,First,11,2755,171,7,Toyota,7
111,Maruti Eeco 5 Seater AC,Coimbatore,5993.87,2017,38053,Petrol,Manual,First,15,1196,73,5,Maruti,7
112,Tata Nano Twist XT,Bangalore,3295.86,2014,25500,Petrol,Manual,First,25,624,37,4,Tata,10
113,BMW 3 Series 320d Luxury Line,Mumbai,31808.92,2015,56087,Diesel,Automatic,First,22,1995,190,5,BMW,9
114,Honda Civic 2006-2010 1.8 V MT,Delhi,5135.42,2010,71088,Petrol,Manual,First,13,1799,130,5,Honda,14
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,17031.19,2014,55000,Diesel,Manual,First,12,2494,100,7,Toyota,10
116,Volvo V40 Cross Country D3,Bangalore,30659.2,2014,32700,Diesel,Automatic,First,23,1984,150,5,Volvo,10
117,Nissan Micra XV CVT,Coimbatore,10040.89,2016,39882,Petrol,Automatic,First,19,1198,75,5,Nissan,8
118,BMW 5 Series 2010-2013 525i,Mumbai,10730.72,2009,128000,Petrol,Automatic,First,10,2497,215,5,BMW,15
119,Maruti Vitara Brezza VDi,Mumbai,11497.2,2016,55000,Diesel,Manual,First,24,1248,88,5,Maruti,8
120,Hyundai Santro Xing XL eRLX Euro III,Mumbai,1303.02,2005,102000,Petrol,Manual,Second,17,1086,112,5,Hyundai,19
121,Mercedes-Benz B Class B200 CDI,Pune,25677.08,2014,53753,Diesel,Automatic,Second,15,2143,107,5,Mercedes-Benz,10
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,16785.91,2018,10250,Diesel,Manual,First,22,1582,126,5,Hyundai,6
123,Maruti Wagon R LXI BS IV,Pune,3755.75,2011,43874,Petrol,Manual,First,18,998,67,5,Maruti,13
124,Tata Nano XTA,Coimbatore,4951.46,2017,32684,Petrol,Automatic,First,21,624,37,4,Tata,7
125,Mahindra Scorpio VLX,Kolkata,11880.44,2014,42000,Diesel,Manual,First,12,2179,120,8,Mahindra,10
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,14333.18,2009,28352,Petrol,Automatic,First,11,1796,178,5,Mercedes-Benz,15
127,Maruti Wagon R LXI CNG,Pune,4982.12,2013,89900,CNG,Manual,First,26,998,58,5,Maruti,11
128,Honda CR-V 2.4 MT,Bangalore,8048.04,2007,47700,Petrol,Manual,Second,10,2354,152,5,Honda,17
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,11113.96,2015,55000,Diesel,Automatic,First,21,1498,103,5,Volkswagen,9
130,Maruti Ciaz VXi Plus,Kochi,11451.21,2017,44285,Petrol,Manual,First,20,1373,91,5,Maruti,7
131,Mahindra XUV500 AT W10 FWD,Jaipur,20311.72,2016,54000,Diesel,Automatic,First,16,2179,140,7,Mahindra,8
132,Maruti Ritz VXI ABS,Coimbatore,8906.5,2016,30232,Petrol,Manual,First,21,1197,85,5,Maruti,8
133,Maruti Alto K10 VXI,Hyderabad,3985.7,2014,88500,Petrol,Manual,First,24,998,67,5,Maruti,10
134,Mercedes-Benz SLC 43 AMG,Kolkata,82779.84,2017,13372,Petrol,Automatic,First,19,2996,362,2,Mercedes-Benz,7
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,17629.04,2019,12645,Petrol,Automatic,First,17,1591,121,5,Hyundai,5
136,Maruti Alto LXi BSIII,Chennai,2452.74,2010,94385,Petrol,Manual,Second,19,796,46,5,Maruti,14
137,BMW 1 Series 118d Base,Coimbatore,26397.57,2015,31821,Diesel,Automatic,First,20,1995,143,5,BMW,9
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,9197.76,2015,12000,Petrol,Automatic,First,19,1199,88,5,Honda,9
139,Honda Civic 2006-2010 1.8 V MT,Delhi,6055.19,2012,88578,Petrol,Manual,First,13,1799,130,5,Honda,12
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,27516.63,2014,44965,Diesel,Automatic,First,19,2143,170,5,Mercedes-Benz,10
141,Honda Amaze SX i-DTEC,Kolkata,5671.95,2014,45044,Diesel,Manual,First,25,1498,98,5,Honda,10
142,Maruti Swift VVT VXI,Kochi,8323.97,2016,34204,Petrol,Manual,First,22,1197,81,5,Maruti,8
143,Hyundai Santro Xing XO eRLX Euro II,Kochi,2560.04,2008,80759,Petrol,Manual,Third,17,1086,112,5,Hyundai,16
144,Toyota Fortuner 3.0 Diesel,Coimbatore,20679.63,2012,91235,Diesel,Manual,First,11,2982,171,7,Toyota,12
145,Chevrolet Beat LT Option,Pune,4368.94,2014,38800,Petrol,Manual,First,18,1199,76,5,Chevrolet,10
146,Skoda Rapid 1.5 TDI Elegance,Chennai,7281.56,2013,83000,Diesel,Manual,First,21,1498,103,5,Skoda,11
147,Maruti Ciaz 1.4 Alpha,Kochi,15176.3,2018,41283,Petrol,Manual,First,20,1373,91,5,Maruti,6
148,Audi RS5 Coupe,Mumbai,56719.52,2013,23000,Petrol,Automatic,First,11,2894,444,4,Audi,11
149,BMW 3 Series Luxury Line,Mumbai,40623.44,2014,48000,Diesel,Automatic,First,21,1995,190,5,BMW,10
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,35748.63,2015,48214,Diesel,Automatic,First,17,1968,174,5,Audi,9
151,Maruti Swift VDI,Chennai,9581.0,2016,35000,Diesel,Manual,First,22,1248,74,5,Maruti,8
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,45988.8,2010,35277,Petrol,Automatic,First,7,5461,362,5,Mercedes-Benz,14
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,15114.99,2016,54620,Diesel,Automatic,First,21,1498,103,5,Skoda,8
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,13030.16,2012,136997,Diesel,Automatic,First,17,1968,138,5,Skoda,12
155,Hyundai EON Magna Plus,Kochi,6484.42,2019,14322,Petrol,Manual,First,21,814,55,5,Hyundai,5
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,5365.36,2012,65634,Diesel,Manual,First,22,1199,73,5,Volkswagen,12
157,Datsun GO NXT,Kolkata,3832.4,2016,6000,Petrol,Manual,First,20,1198,67,5,Datsun,8
158,Honda Brio S MT,Kolkata,3663.77,2013,33280,Petrol,Manual,First,19,1198,86,5,Honda,11
159,Mercedes-Benz B Class B180,Delhi,17245.8,2013,29000,Petrol,Automatic,First,14,1595,120,5,Mercedes-Benz,11
160,Honda City i DTEC V,Kochi,10899.35,2015,42831,Diesel,Manual,First,26,1498,98,5,Honda,9
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,16709.26,2016,90000,Diesel,Manual,First,12,2494,100,7,Toyota,8
162,Maruti Swift VXI Optional,Ahmedabad,9504.35,2017,24005,Petrol,Manual,First,20,1197,81,5,Maruti,7
163,Mahindra XUV500 W8 2WD,Mumbai,12110.38,2012,32792,Diesel,Manual,First,15,2179,140,7,Mahindra,12
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,6775.68,2014,147898,Diesel,Manual,First,22,1498,89,5,Ford,10
165,Toyota Fortuner 4x2 Manual,Mumbai,20694.96,2012,131765,Diesel,Manual,First,13,2982,168,7,Toyota,12
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,9581.0,2013,65000,Diesel,Automatic,First,21,1498,108,5,Volkswagen,11
167,Ford Figo Diesel Titanium,Jaipur,3219.22,2010,66123,Diesel,Manual,Second,20,1399,68,5,Ford,14
168,BMW X5 xDrive 30d,Mumbai,68983.2,2015,41000,Diesel,Automatic,First,15,2993,258,5,BMW,9
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,51599.43,2017,23550,Diesel,Automatic,First,19,2143,167,5,Mercedes-Benz,7
170,Honda Brio V MT,Bangalore,5595.3,2012,45000,Petrol,Manual,Second,19,1198,86,5,Honda,12
171,Hyundai i10 Magna 1.2,Delhi,4215.64,2013,60000,Petrol,Manual,First,20,1197,78,5,Hyundai,11
172,Mercedes-Benz GLC 220,Bangalore,65150.8,2016,44414,Diesel,Automatic,First,17,2143,170,5,Mercedes-Benz,8
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,9964.24,2019,1000,Petrol,Manual,First,18,1197,81,5,Hyundai,5
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,29126.24,2012,62500,Diesel,Automatic,Second,17,1968,174,5,Audi,12
175,Volkswagen Vento Petrol Highline AT,Mumbai,6821.67,2013,21000,Petrol,Automatic,Second,14,1598,103,5,Volkswagen,11
176,Mini Countryman Cooper D,Jaipur,35258.08,2017,8525,Diesel,Automatic,Second,16,1998,112,5,Mini,7
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,12800.22,2014,29000,Diesel,Manual,First,22,1396,88,5,Hyundai,10
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,35181.43,2014,40000,Diesel,Automatic,First,17,1968,174,5,Audi,10
179,Chevrolet Beat Diesel LT,Jaipur,2299.44,2012,88000,Diesel,Manual,First,25,936,57,5,Chevrolet,12
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,10562.09,2012,53537,Petrol,Automatic,First,13,1798,157,5,Skoda,12
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2222.79,2006,216000,Diesel,Manual,Second,17,1399,68,5,Ford,18
182,BMW 5 Series 520d Luxury Line,Hyderabad,51354.16,2014,51000,Diesel,Automatic,First,22,1995,190,5,BMW,10
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,1916.2,2007,118500,Petrol,Manual,First,12,1598,102,5,Chevrolet,17
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,6438.43,2012,63000,Diesel,Manual,First,22,1199,73,5,Volkswagen,12
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,10347.48,2015,25000,Diesel,Manual,First,19,1461,108,8,Renault,9
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,49054.72,2014,37382,Diesel,Automatic,First,13,2143,201,5,Mercedes-Benz,10
187,Maruti Baleno Alpha,Kochi,11497.2,2017,24773,Petrol,Manual,First,21,1197,83,5,Maruti,7
188,Hyundai Verna 1.6 SX,Delhi,7051.62,2012,62000,Diesel,Manual,First,22,1582,126,5,Hyundai,12
189,Hyundai i10 Magna 1.1,Kochi,6193.16,2017,52340,Petrol,Manual,First,19,1086,68,5,Hyundai,7
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,15804.82,2016,56739,Diesel,Manual,First,15,1997,120,7,Mahindra,8
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,85477.85,2018,36091,Diesel,Automatic,First,12,2179,187,5,Land,6
192,Ford Figo Diesel ZXI,Chennai,3985.7,2010,120000,Diesel,Manual,First,20,1399,68,5,Ford,14
193,Maruti Ertiga ZDI,Mumbai,13030.16,2016,33000,Diesel,Manual,First,25,1248,88,7,Maruti,8
194,Honda City 1.5 GXI,Ahmedabad,4522.23,2007,60006,Petrol,Manual,First,17,1616,112,5,Honda,17
195,Honda Amaze S i-Dtech,Kolkata,5365.36,2014,52000,Diesel,Manual,First,25,1498,98,5,Honda,10
196,Hyundai i10 Magna,Jaipur,5442.01,2015,43571,Petrol,Manual,First,20,1197,78,5,Hyundai,9
197,Honda Amaze S i-Dtech,Kolkata,4982.12,2013,50000,Diesel,Manual,First,25,1498,98,5,Honda,11
198,Skoda Laura Ambiente,Hyderabad,6898.32,2008,113000,Diesel,Manual,First,17,1896,106,5,Skoda,16
199,Renault Duster 85PS Diesel RxL,Delhi,8201.34,2014,90000,Diesel,Manual,First,19,1461,83,5,Renault,10
200,Mahindra NuvoSport N6,Chennai,9964.24,2017,29000,Diesel,Manual,Second,17,1493,100,7,Mahindra,7
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,13796.64,2016,20000,Diesel,Manual,First,24,1248,88,5,Maruti,8
202,Hyundai i20 Asta Option 1.2,Kochi,9197.76,2016,61012,Petrol,Manual,First,18,1197,81,5,Hyundai,8
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,4215.64,2009,87459,Petrol,Manual,First,14,1390,85,5,Skoda,15
204,Tata Indigo eCS GLX,Pune,2299.44,2010,70500,Petrol,Manual,First,15,1193,64,5,Tata,14
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,30505.9,2015,64103,Diesel,Automatic,First,15,1968,174,5,Audi,9
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,15329.6,2014,76000,Petrol,Automatic,First,14,1798,177,5,Skoda,10
207,Toyota Etios Liva GD SP,Delhi,4598.88,2014,104000,Diesel,Manual,First,23,1364,67,5,Toyota,10
208,Maruti Swift 1.3 VXi,Kolkata,3234.55,2010,42001,Petrol,Manual,First,16,1616,112,5,Maruti,14
209,Mercedes-Benz B Class B180,Kochi,18334.2,2014,37245,Petrol,Automatic,First,14,1595,120,5,Mercedes-Benz,10
210,Honda Amaze S Diesel,Kolkata,4982.12,2013,45000,Diesel,Manual,First,27,1498,98,5,Honda,11
211,Hyundai Verna 1.6 SX,Jaipur,7281.56,2012,117837,Diesel,Manual,Second,22,1582,126,5,Hyundai,12
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,9121.11,2014,30000,Diesel,Manual,First,20,1461,83,5,Renault,10
213,Hyundai Creta 1.6 VTVT S,Delhi,12493.62,2015,27057,Petrol,Manual,Second,15,1591,121,5,Hyundai,9
